0,camo,weaponoption,#mpui/none,camo_none,0,#menu_cac_none,#mpui/none,#,,0,0,,0,0,0,1000,,,false,,#,,#,#camo_none
63,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
64,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
65,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
66,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
67,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
68,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
69,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
70,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
71,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
72,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
73,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
74,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
75,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
76,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
77,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
78,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
79,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
80,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
81,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
82,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
83,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
84,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
85,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
86,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
87,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
88,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
89,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
90,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
91,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
92,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
93,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
94,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
95,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
96,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
97,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
98,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
99,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
100,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
101,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
102,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
103,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
104,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
105,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
106,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
107,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
108,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
109,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
110,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
111,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
112,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
113,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
114,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
115,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
116,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
117,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
118,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
119,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
120,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
121,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
122,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
123,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
124,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
125,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
126,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
127,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
128,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
129,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
130,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
131,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
132,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
133,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
134,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
135,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
136,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
137,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
138,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
139,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
140,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
141,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
142,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
143,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
144,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
145,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
146,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
147,camo,weaponoption,#,camo_loot_placeholder,0,#hash_7f2afeb50a370938,#,#,,0,0,,0,0,0,0,,,false,,#,,#,#hash_785b40e41e782256
148,reticle,weaponoption,#hash_7085044e7b80d5a3,reticle_0,0,#,#,#,,0,0,,0,0,0,1000,,,false,,#,,#,#reticle_0
149,reticle,weaponoption,#hash_7085044e7b80d5a3,reticle_1,0,#,#,#,,0,0,,0,0,0,1000,,,false,,#,,#,#reticle_1
150,reticle,weaponoption,#hash_7085044e7b80d5a3,reticle_2,0,#,#,#,,0,0,,0,0,0,1000,,,false,,#,,#,#reticle_2
151,reticle,weaponoption,#hash_7085044e7b80d5a3,reticle_3,0,#,#,#,,0,0,,0,0,0,1000,,,false,,#,,#,#reticle_3
152,reticle,weaponoption,#hash_7085044e7b80d5a3,reticle_4,0,#,#,#,,0,0,,0,0,0,1000,,,false,,#,,#,#reticle_4
153,reticle,weaponoption,#hash_7085044e7b80d5a3,reticle_5,0,#,#,#,,0,0,,0,0,0,1000,,,false,,#,,#,#reticle_5
154,reticle,weaponoption,#hash_7085044e7b80d5a3,reticle_6,0,#,#,#,,0,0,,0,0,0,1000,,,false,,#,,#,#reticle_6
155,reticle,weaponoption,#hash_7085044e7b80d5a3,reticle_7,0,#,#,#,,0,0,,0,0,0,1000,,,false,,#,,#,#reticle_7
156,reticle,weaponoption,#hash_7085044e7b80d5a3,reticle_8,0,#,#,#,,0,0,,0,0,0,1000,,,false,,#,,#,#reticle_8
157,reticle,weaponoption,#hash_7085044e7b80d5a3,reticle_9,0,#,#,#,,0,0,,0,0,0,1000,,,false,,#,,#,#reticle_9
158,reticle,weaponoption,#hash_7085044e7b80d5a3,reticle_10,0,#,#,#,,0,0,,0,0,0,1000,,,false,,#,,#,#reticle_10
159,reticle,weaponoption,#hash_7085044e7b80d5a3,reticle_11,0,#,#,#,,0,0,,0,0,0,1000,,,false,,#,,#,#reticle_11
160,reticle,weaponoption,#hash_7085044e7b80d5a3,reticle_12,0,#,#,#,,0,0,,0,0,0,1000,,,false,,#,,#,#reticle_12
161,reticle,weaponoption,#hash_7085044e7b80d5a3,reticle_13,0,#,#,#,,0,0,,0,0,0,1000,,,false,,#,,#,#reticle_13
162,reticle,weaponoption,#hash_7085044e7b80d5a3,reticle_14,0,#,#,#,,0,0,,0,0,0,1000,,,false,,#,,#,#reticle_14
163,reticle,weaponoption,#hash_7085044e7b80d5a3,reticle_15,0,#,#,#,,0,0,,0,0,0,1000,,,false,,#,,#,#reticle_15
164,reticle,weaponoption,#hash_7085044e7b80d5a3,reticle_16,0,#,#,#,,0,0,,0,0,0,1000,,,false,,#,,#,#reticle_16
165,reticle,weaponoption,#hash_7085044e7b80d5a3,reticle_17,0,#,#,#,,0,0,,0,0,0,1000,,,false,,#,,#,#reticle_17
166,reticle,weaponoption,#hash_7085044e7b80d5a3,reticle_18,0,#,#,#,,0,0,,0,0,0,1000,,,false,,#,,#,#reticle_18
167,reticle,weaponoption,#hash_7085044e7b80d5a3,reticle_19,0,#,#,#,,0,0,,0,0,0,1000,,,false,,#,,#,#reticle_19
168,reticle,weaponoption,#hash_7085044e7b80d5a3,reticle_20,0,#,#,#,,0,0,,0,0,0,1000,,,false,,#,,#,#reticle_20
169,reticle,weaponoption,#hash_7085044e7b80d5a3,reticle_21,0,#,#,#,,0,0,,0,0,0,1000,,,false,,#,,#,#reticle_21
170,reticle,weaponoption,#hash_7085044e7b80d5a3,reticle_22,0,#,#,#,,0,0,,0,0,0,1000,,,false,,#,,#,#reticle_22
171,reticle,weaponoption,#hash_7085044e7b80d5a3,reticle_23,0,#,#,#,,0,0,,0,0,0,1000,,,false,,#,,#,#reticle_23
